product_id,company_id,product_name,category,subcategory,description,launch_date,price,cost,rating,total_sales,return_rate,lifecycle_stage,status,sales_score,rating_score,return_score,profit_margin,profitability_score,performance_score,performance_category
P0293,C006,Smart Fan 293,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2024-07-27,39139,17641.59,4.5,96539,0.023,Mature,Active,97.33308996511722,90.0,90.64748201438849,54.92580290758578,99.81964227402312,94.1690242317722,Excellent
P0492,C010,Smart Ring 492,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2022-01-20,25961,13209.45,4.6,97302,0.031,Growth,Discontinued,98.10679808550337,92.0,84.89208633093526,49.11810022726397,80.39253122804895,90.97467628032057,Excellent
P0055,C002,Smart Watch 55,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-03-25,28534,16174.3,4.5,91663,0.013,Decline,Discontinued,92.38865904112923,90.0,97.84172661870504,43.31569355856172,60.983135656074914,88.05184633654747,Excellent
P0388,C008,Smart Fan 388,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2022-01-29,26121,11791.04,4.1,96268,0.062,Mature,Active,97.05828668775858,82.0,62.589928057553955,54.85992113625052,99.59926382869185,86.02827552653007,Excellent
P0062,C002,Tablet 62,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-12-02,11996,7578.69,4.8,94656,0.026,Mature,Active,95.42366350287985,96.0,88.48920863309353,36.8231910636879,39.26532848224261,85.78592322496304,Excellent
P0237,C005,Tablet 237,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2024-09-07,2004,1029.14,3.5,97686,0.026,Growth,Active,98.49618723128093,70.0,88.48920863309353,48.645708582834324,78.81235306834043,84.9933602178181,Excellent
P0001,C001,Smart Watch 1,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-01-21,49598,26411.37,3.6,97030,0.024,Introduction,Discontinued,97.83098077391092,72.0,89.92805755395683,46.74912294850599,72.46816126748634,84.69667897178314,Excellent
P0263,C006,Smart Light 263,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2023-10-06,39954,19610.92,3.7,91633,0.038,Growth,Discontinued,92.35823801411536,74.0,79.85611510791367,50.91625369174552,86.40746156367875,83.45772556107492,Excellent
P0205,C005,Tablet 205,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-09-07,23859,14748.35,4.8,95089,0.048,Decline,Discontinued,95.86274032611341,96.0,72.66187050359711,38.185380778741774,43.821934134543184,83.4576233350406,Excellent
P0099,C002,Bluetooth Speaker 99,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2022-07-21,45852,33301.33,4.9,98380,0.023,Introduction,Discontinued,99.19992698953517,98.00000000000001,90.64748201438849,27.372132077117676,7.650973798373337,83.39711691897102,Excellent
